timestamp,room,sensor_name,value
2025-01-01 00:00:00,living_room,temperature,32.01
2025-01-01 00:00:00,living_room,humidity,82.2
2025-01-01 00:00:00,bedroom,temperature,28.14
2025-01-01 00:00:00,bedroom,humidity,62.43
2025-01-01 00:00:00,kitchen,temperature,28.16
2025-01-01 00:00:00,kitchen,humidity,79.93
2025-01-01 00:01:00,living_room,temperature,31.59
2025-01-01 00:01:00,living_room,humidity,82.06
2025-01-01 00:01:00,bedroom,temperature,14.53
2025-01-01 00:01:00,bedroom,humidity,53.22
2025-01-01 00:01:00,kitchen,temperature,14.08
2025-01-01 00:01:00,kitchen,humidity,56.61
2025-01-01 00:02:00,living_room,temperature,23.91
2025-01-01 00:02:00,living_room,humidity,81.52
2025-01-01 00:02:00,bedroom,temperature,19.63
2025-01-01 00:02:00,bedroom,humidity,46.98
2025-01-01 00:02:00,kitchen,temperature,21.46
2025-01-01 00:02:00,kitchen,humidity,63.16
2025-01-01 00:03:00,living_room,temperature,20.44
2025-01-01 00:03:00,living_room,humidity,80.14
2025-01-01 00:03:00,bedroom,temperature,34.47
2025-01-01 00:03:00,bedroom,humidity,66.75
2025-01-01 00:03:00,kitchen,temperature,13.82
2025-01-01 00:03:00,kitchen,humidity,65.91
2025-01-01 00:04:00,living_room,temperature,26.56
2025-01-01 00:04:00,living_room,humidity,82.17
2025-01-01 00:04:00,bedroom,temperature,28.38
2025-01-01 00:04:00,bedroom,humidity,54.88
2025-01-01 00:04:00,kitchen,temperature,23.96
2025-01-01 00:04:00,kitchen,humidity,62.13
2025-01-01 00:05:00,living_room,temperature,18.91
2025-01-01 00:05:00,living_room,humidity,84.08
2025-01-01 00:05:00,bedroom,temperature,25.2
2025-01-01 00:05:00,bedroom,humidity,70.13
2025-01-01 00:05:00,kitchen,temperature,12.25
2025-01-01 00:05:00,kitchen,humidity,84.99
2025-01-01 00:06:00,living_room,temperature,14.95
2025-01-01 00:06:00,living_room,humidity,81.11
2025-01-01 00:06:00,bedroom,temperature,22.24
2025-01-01 00:06:00,bedroom,humidity,76.82
2025-01-01 00:06:00,kitchen,temperature,14.58
2025-01-01 00:06:00,kitchen,humidity,65.55
2025-01-01 00:07:00,living_room,temperature,25.7
2025-01-01 00:07:00,living_room,humidity,83.58
2025-01-01 00:07:00,bedroom,temperature,25.85
2025-01-01 00:07:00,bedroom,humidity,47.17
2025-01-01 00:07:00,kitchen,temperature,23.48
2025-01-01 00:07:00,kitchen,humidity,83.48
2025-01-01 00:08:00,living_room,temperature,29.0
2025-01-01 00:08:00,living_room,humidity,84.81
2025-01-01 00:08:00,bedroom,temperature,22.76
2025-01-01 00:08:00,bedroom,humidity,56.76
2025-01-01 00:08:00,kitchen,temperature,27.66
2025-01-01 00:08:00,kitchen,humidity,66.27
2025-01-01 00:09:00,living_room,temperature,34.64
2025-01-01 00:09:00,living_room,humidity,83.53
2025-01-01 00:09:00,bedroom,temperature,19.16
2025-01-01 00:09:00,bedroom,humidity,67.09
2025-01-01 00:09:00,kitchen,temperature,14.9
2025-01-01 00:09:00,kitchen,humidity,66.47
2025-01-01 00:10:00,living_room,temperature,14.55
2025-01-01 00:10:00,living_room,humidity,83.94
2025-01-01 00:10:00,bedroom,temperature,19.65
2025-01-01 00:10:00,bedroom,humidity,49.82
2025-01-01 00:10:00,kitchen,temperature,34.9
2025-01-01 00:10:00,kitchen,humidity,75.1
2025-01-01 00:11:00,living_room,temperature,31.9
2025-01-01 00:11:00,living_room,humidity,81.47
2025-01-01 00:11:00,bedroom,temperature,20.24
2025-01-01 00:11:00,bedroom,humidity,48.63
2025-01-01 00:11:00,kitchen,temperature,34.58
2025-01-01 00:11:00,kitchen,humidity,76.34
2025-01-01 00:12:00,living_room,temperature,25.42
2025-01-01 00:12:00,living_room,humidity,83.04
2025-01-01 00:12:00,bedroom,temperature,33.13
2025-01-01 00:12:00,bedroom,humidity,45.05
2025-01-01 00:12:00,kitchen,temperature,16.44
2025-01-01 00:12:00,kitchen,humidity,69.74
2025-01-01 00:13:00,living_room,temperature,18.42
2025-01-01 00:13:00,living_room,humidity,81.08
2025-01-01 00:13:00,bedroom,temperature,14.56
2025-01-01 00:13:00,bedroom,humidity,53.04
2025-01-01 00:13:00,kitchen,temperature,25.71
2025-01-01 00:13:00,kitchen,humidity,69.83
2025-01-01 00:14:00,living_room,temperature,22.79
2025-01-01 00:14:00,living_room,humidity,83.99
2025-01-01 00:14:00,bedroom,temperature,30.86
2025-01-01 00:14:00,bedroom,humidity,66.88
2025-01-01 00:14:00,kitchen,temperature,12.66
2025-01-01 00:14:00,kitchen,humidity,84.5
2025-01-01 00:15:00,living_room,temperature,27.17
2025-01-01 00:15:00,living_room,humidity,81.94
2025-01-01 00:15:00,bedroom,temperature,32.2
2025-01-01 00:15:00,bedroom,humidity,67.49
2025-01-01 00:15:00,kitchen,temperature,32.95
2025-01-01 00:15:00,kitchen,humidity,84.47
2025-01-01 00:16:00,living_room,temperature,33.69
2025-01-01 00:16:00,living_room,humidity,82.18
2025-01-01 00:16:00,bedroom,temperature,18.18
2025-01-01 00:16:00,bedroom,humidity,70.41
2025-01-01 00:16:00,kitchen,temperature,12.44
2025-01-01 00:16:00,kitchen,humidity,78.23
2025-01-01 00:17:00,living_room,temperature,24.59
2025-01-01 00:17:00,living_room,humidity,82.28
2025-01-01 00:17:00,bedroom,temperature,17.36
2025-01-01 00:17:00,bedroom,humidity,72.15
2025-01-01 00:17:00,kitchen,temperature,32.85
2025-01-01 00:17:00,kitchen,humidity,53.0
2025-01-01 00:18:00,living_room,temperature,15.53
2025-01-01 00:18:00,living_room,humidity,81.99
2025-01-01 00:18:00,bedroom,temperature,25.16
2025-01-01 00:18:00,bedroom,humidity,59.53
2025-01-01 00:18:00,kitchen,temperature,13.02
2025-01-01 00:18:00,kitchen,humidity,62.4
2025-01-01 00:19:00,living_room,temperature,15.46
2025-01-01 00:19:00,living_room,humidity,80.61
2025-01-01 00:19:00,bedroom,temperature,31.23
2025-01-01 00:19:00,bedroom,humidity,61.36
2025-01-01 00:19:00,kitchen,temperature,13.69
2025-01-01 00:19:00,kitchen,humidity,57.87
2025-01-01 00:20:00,living_room,temperature,21.61
2025-01-01 00:20:00,living_room,humidity,80.29
2025-01-01 00:20:00,bedroom,temperature,24.82
2025-01-01 00:20:00,bedroom,humidity,69.18
2025-01-01 00:20:00,kitchen,temperature,34.74
2025-01-01 00:20:00,kitchen,humidity,77.21
2025-01-01 00:21:00,living_room,temperature,14.62
2025-01-01 00:21:00,living_room,humidity,83.72
2025-01-01 00:21:00,bedroom,temperature,19.79
2025-01-01 00:21:00,bedroom,humidity,59.17
2025-01-01 00:21:00,kitchen,temperature,20.27
2025-01-01 00:21:00,kitchen,humidity,53.46
2025-01-01 00:22:00,living_room,temperature,25.91
2025-01-01 00:22:00,living_room,humidity,83.18
2025-01-01 00:22:00,bedroom,temperature,32.0
2025-01-01 00:22:00,bedroom,humidity,63.81
2025-01-01 00:22:00,kitchen,temperature,31.9
2025-01-01 00:22:00,kitchen,humidity,63.82
2025-01-01 00:23:00,living_room,temperature,14.54
